BestPractice-MessageID|BestPractice-TestDetails|BestPractice-Singular-MSG|BestPractice-Plural-MSG
00|transformers.outofdate|You have [VALUE] out of date transformer.|You have [VALUE] out of date transformers.
01|transformers.dubious|You have [VALUE] transformer of dubious use.|You have [VALUE] transformers of dubious use.
02|debugging.transformers|You have [VALUE] debugging transformer.|You have [VALUE] debugging transformers.
03|debugging.connections|You have [VALUE] disabled connection.|You have [VALUE] disabled connections.
04|debugging.breakpoints|You have [VALUE] breakpoint.|You have [VALUE] breakpoints.
05|style.zerobookmarks|You have zero bookmarks.|You have zero bookmarks.
06|style.bookmarkratio|You have a ratio of [VALUE] transformers/bookmark. You may be placing too many bookmarks.|You have a ratio of [VALUE] transformers/bookmark. You may be placing too many bookmarks.
07|style.bookmarkratio|You have a ratio of [VALUE] transformers/bookmark. You may be placing too few bookmarks.|You have a ratio of [VALUE] transformers/bookmark. You may be placing too few bookmarks.
08|style.bookmarkratio|You have a ratio of [VALUE] transformers/bookmark.|You have a ratio of [VALUE] transformers/bookmark.
09|style.zeroannotation|You have zero annotation.|You have zero annotation.
10|style.annotationratio|You have a ratio of [VALUE] transformers/annotation. You may be placing too much annotation.|You have a ratio of [VALUE] transformers/annotation. You may be placing too much annotation.
11|style.annotationratio|You have a ratio of [VALUE] transformers/annotation. You may be placing too little annotation.|You have a ratio of [VALUE] transformers/annotation. You may be placing too little annotation.
12|style.annotationratio|You have a ratio of [VALUE] transformers/annotation.|You have a ratio of [VALUE] transformers/annotation.
13|customtransformer.unsetrejectedport|You have [VALUE] unconnected <Rejected> port inside Custom Transformers.|You have [VALUE] unconnected <Rejected> ports inside Custom Transformers.
14|customtransformer.norejectedport|You have [VALUE] Custom Transformer without an external <Rejected> port.|You have [VALUE] Custom Transformers without an external <Rejected> port.
15|performance.acrossoutputports|You have [VALUE] transformer with output Across Output Ports.|You have [VALUE] transformers with output Across Output Ports.
16|performance.unusedparameters|You have [VALUE] transformer with unused performance-related parameters.|You have [VALUE] transformers with unused performance-related parameters.
17|parameters.longprompt|You have [VALUE] published parameter prompt that is 35+ characters.|You have [VALUE] published parameter prompts that are 35+ characters.
18|parameters.shortprompt|You have [VALUE] published parameter prompt that is <5 characters.|You have [VALUE] published parameter prompts that are <5 characters.
19|parameters.longmessage|You have [VALUE] published parameter message that is 100+ characters.|You have [VALUE] published parameter messages that are 100+ characters.
20|parameters.nocaps|You have [VALUE] published parameter prompt that is all lower case.|You have [VALUE] published parameter prompts that are all lower case.
21|parameters.allcaps|You have [VALUE] published parameter prompt that is all upper case.|You have [VALUE] published parameter prompts that are all upper case.
22|style.lowbmcontent|You have [VALUE] bookmark containing only a single transformer.|You have [VALUE] bookmarks containing only a single transformer.
23|style.highbmcontent|You have [VALUE] bookmark containing more than 10 transformers.|You have [VALUE] bookmarks containing more than 10 transformers.
24|parameters.defaultprompts|You have [VALUE] published parameter prompt that is just the FME default prompt.|You have [VALUE] published parameter prompts that are just the FME default prompts.
25|parameters.defaultnames|You have [VALUE] published parameter name that is just the FME default name.|You have [VALUE] published parameter names that are just the FME default names.
26|parameters.unnecessaryarithmetic|You have [VALUE] text published parameter that exposes the arithmetic editor.|You have [VALUE] text published parameters that expose the arithmetic editor.
27|parameters.unsetrequired|You have [VALUE] published parameter that requires a value but is empty.|You have [VALUE] published parameters that require a value but are empty.
28|workspace.noname|Your workspace has no name set in the Workspace Parameters.|Your workspace has no name set in the Workspace Parameters.
29|workspace.nodescription|Your workspace has no description set in the Workspace Parameters.|Your workspace has no description set in the Workspace Parameters.
30|workspace.nocategory|Your workspace has no category set in the Workspace Parameters.|Your workspace has no category set in the Workspace Parameters.
31|workspace.olderversion|Your workspace was built with an older version of FME (for example, 2022 vs 2023)|Your workspace was built with an older version of FME (for example, 2022 vs 2023)
32|workspace.newerversion|Your workspace was built with a newer version of FME (for example, 2023 vs 2022)|Your workspace was built with a newer version of FME (for example, 2023 vs 2022)
33|workspace.currentversion|Your workspace was built with the current version of FME.|Your workspace was built with the current version of FME.
34|workspace.olderbuild|Your workspace was built with an older build of FME.|Your workspace was built with an older build of FME.
35|workspace.newerbuild|Your workspace was built with a newer build of FME.|Your workspace was built with a newer build of FME.
36|workspace.currentbuild|Your workspace was built with the current build of FME.|Your workspace was built with the current build of FME.
37|transformers.featurereader|Your workspace has [VALUE] FeatureReader transformer reading both Data and Schema.|Your workspace has [VALUE] FeatureReader transformers reading both Data and Schema.
